Month,LDPE
2012-01-01,0.81
2012-02-01,0.84
2012-03-01,0.87
2012-04-01,0.87
2012-05-01,0.8
2012-06-01,0.73
2012-07-01,0.73
2012-08-01,0.78
2012-09-01,0.78
2012-10-01,0.78
2012-11-01,0.76
2012-12-01,0.76
2013-01-01,0.81
2013-02-01,0.81
2013-03-01,0.85
2013-04-01,0.85
2013-05-01,0.83
2013-06-01,0.85
2013-07-01,0.85
2013-08-01,0.85
2013-09-01,0.9
2013-10-01,0.9
2013-11-01,0.9
2013-12-01,0.9
2014-01-01,0.9
2014-02-01,0.94
2014-03-01,0.94
2014-04-01,0.94
2014-05-01,0.94
2014-06-01,0.94
2014-07-01,0.94
2014-08-01,0.94
2014-09-01,0.97
2014-10-01,0.97
2014-11-01,0.94
2014-12-01,0.9
2015-01-01,0.86
2015-02-01,0.81
2015-03-01,0.81
2015-04-01,0.81
2015-05-01,0.86
2015-06-01,0.86
2015-07-01,0.86
2015-08-01,0.81
2015-09-01,0.77
2015-10-01,0.77
2015-11-01,0.77
2015-12-01,0.77
2016-01-01,0.74
2016-02-01,0.72
2016-03-01,0.77
2016-04-01,0.81
2016-05-01,0.81
2016-06-01,0.81
2016-07-01,0.81
2016-08-01,0.81
2016-09-01,0.86
2016-10-01,0.86
2016-11-01,0.83
2016-12-01,0.81
2017-01-01,0.81
2017-02-01,0.86
2017-03-01,0.89
2017-04-01,0.89
2017-05-01,0.86
2017-06-01,0.86
2017-07-01,0.86
2017-08-01,0.89
2017-09-01,0.91
2017-10-01,0.945
2017-11-01,0.96
2017-12-01,0.93
2018-01-01,0.71
2018-02-01,0.75
2018-03-01,0.75
2018-04-01,0.75
2018-05-01,0.75
2018-06-01,0.75
2018-07-01,0.75
2018-08-01,0.72
2018-09-01,0.75
2018-10-01,0.75
2018-11-01,0.72
2018-12-01,0.69
2019-01-01,0.69
2019-02-01,0.69
2019-03-01,0.69
2019-04-01,0.72
2019-05-01,0.72
2019-06-01,0.69
2019-07-01,0.66
2019-08-01,0.66
2019-09-01,0.69
2019-10-01,0.69
2019-11-01,0.66
2019-12-01,0.63
2020-01-01,0.67
2020-02-01,0.67
2020-03-01,0.67
2020-04-01,0.63
2020-05-01,0.63
2020-06-01,0.67
2020-07-01,0.72
2020-08-01,0.77
2020-09-01,0.82
2020-10-01,0.82
2020-11-01,0.82
2020-12-01,0.87
2021-01-01,0.66
2021-02-01,0.73
2021-03-01,0.8
2021-04-01,0.89
2021-05-01,0.94
2021-06-01,0.99
2021-07-01,1.04
2021-08-01,1.04
2021-09-01,1.04
2021-10-01,0.99
2021-11-01,0.94
2021-12-01,0.87
2022-01-01,0.87
2022-02-01,0.87
2022-03-01,0.91
2022-04-01,0.91
2022-05-01,0.94
2022-06-01,0.94
2022-07-01,0.91
2022-08-01,0.85
2022-09-01,0.82
2022-10-01,0.82
2022-11-01,0.82
2022-12-01,0.82
2023-01-01,0.6
2023-02-01,0.6
2023-03-01,0.63
2023-04-01,0.63
2023-05-01,0.63
2023-06-01,0.6
2023-07-01,0.6
2023-08-01,0.63
2023-09-01,0.66
2023-10-01,0.66
2023-11-01,0.66
2023-12-01,0.66
